Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Originals City Arras,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.280981,2.805276,
Cabinet des Rêveries,Hébergement,Cassel,59670,Nord,Hauts-de-France,50.80063,2.48509,http://www.cabinetdereveries.com/
Holiday Inn Calais Coquelles,"Restauration,Hébergement",Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.926577,1.797915,http://www.ihg.com/
B&B Calais Terminal Cité Europe 2 étoiles,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.937536,1.809945,https://www.hotel-bb.com/fr
B&B,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.302203,2.734711,https://www.hotel-bb.com/fr
Hôtel le Gourmet,"Restauration,Hébergement",Bapaume,62450,Pas-de-Calais,Hauts-de-France,50.104815,2.847813,http://www.le-gourmet.fr/
Haut'aile the Originals city,"Restauration,Hébergement",Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.9248344,1.8039665,http://www.theoriginalshotels.com/
Gîte Au Coeur de Cassel,Hébergement,Cassel,59670,Nord,Hauts-de-France,50.79942,2.48785,https://aucoeurdecassel-gite.com/
Appart Hôtel Diamant,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291426,2.777598,http://www.arras-hotel-diamant.com/
Au Gallodrome,Hébergement,Drincham,59630,Nord,Hauts-de-France,50.910571,2.32076,
B&B Hôtel Arras Centre Les Places,Hébergement,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290815,2.77934,https://www.hotel-bb.com/fr/hotel/arras-centre-les-places
Hôtel B&B Calais Coquelles Tunnel sous la Manche,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.942754,1.802049,https://www.hotel-bb.com/fr/hotel/calais-coquelles-tunnel-sous-la-manche
Ferme du clap houck,Hébergement,Morbecque,59190,Nord,Hauts-de-France,50.66613,2.55112,https://fermeclaphouck.fr/
HOTEL DE LA PAIX,"Restauration,Hébergement",Bapaume,62450,Pas-de-Calais,Hauts-de-France,50.101382,2.851764,http://www.hotel-de-la-paix-bapaume.com/
La Ferme 1851,Hébergement,Willems,59780,Nord,Hauts-de-France,50.63308,3.24837,
Gîte au bord de la mare,Hébergement,Buysscheure,59285,Nord,Hauts-de-France,50.80595,2.33056,https://gite-au-bord-de-la-mare-buysscheure.hotelmix.fr/
Hôtel B&B Calais Terminal Cité Europe 4 étoiles,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.937536,1.809945,https://www.hotel-bb.com/fr
Grand Place Hôtel,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.292236,2.77945,http://grandplacehotel.fr/
Sur la route des monts,Hébergement,Bailleul,59270,Nord,Hauts-de-France,50.75509,2.74924,
Maison Cosy,Hébergement,Moyvillers,60190,Oise,Hauts-de-France,49.41538,2.64968,https://www.airbnb.fr/rooms/1353590120669354790
Hôtel B&B Calais Terminal Cité Europe 3 étoiles,Hébergement,Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.937536,1.809945,https://www.hotel-bb.com/fr/hotel/calais-terminal-cite-europe-3
Les Jardins,Hébergement,Hoymille,59492,Nord,Hauts-de-France,50.9708324,2.4603956,
Aux deux colombes,Hébergement,Sainte-Marie-Cappel,59670,Nord,Hauts-de-France,50.784114,2.508468,
Suite Maia,Hébergement,Blaringhem,59173,Nord,Hauts-de-France,50.70453,2.40753,http://gitevolupia.simplesite.com/435941708
Ferme de Valeuse,"Commerce de détail,Hébergement",Morienval,60127,Oise,Hauts-de-France,49.3057558,2.9502677,
Le château d'Ebblinghem,Hébergement,Ebblinghem,59173,Nord,Hauts-de-France,50.72902,2.42427,https://www.nstgroup.co.uk/chateau-debblinghem
La cabane aux oiseaux,Hébergement,Boeschepe,59299,Nord,Hauts-de-France,50.78176,2.73042,
We maison d'hôtes,Hébergement,Winnezeele,59670,Nord,Hauts-de-France,50.84109,2.54978,https://www.we-maisondhotes.fr/
Gîtes la ferme du bûcheron,Hébergement,Steenvoorde,59114,Nord,Hauts-de-France,50.816405,2.575222,http://www.lafermedubucheron.fr/
Jardin d'Hiver Cassel,Hébergement,Cassel,59670,Nord,Hauts-de-France,50.7983,2.48924,http://www.jardindhiver-cassel.com/
Dartmoor cottage - Gîte Devon,Hébergement,Merris,59270,Nord,Hauts-de-France,50.71408,2.66831,https://www.dartmoor-cottage.fr/gite-devon/
Le Moulin de Cohem,Hébergement,Blaringhem,59173,Nord,Hauts-de-France,50.67216,2.38191,
Les Chambres de Mélusine,Hébergement,Bailleul,59270,Nord,Hauts-de-France,50.73944,2.73685,http://www.chambrebailleu.lautre.net/
Flandre nocturna,Hébergement,Vieux-Berquin,59232,Nord,Hauts-de-France,50.6968003,2.6165363,
Monts de Flandre insolite,Hébergement,Berthen,59270,Nord,Hauts-de-France,50.78232,2.69479,
Altitude 152 - Mont Noir,Restauration,Boeschepe,59299,Nord,Hauts-de-France,50.779212,2.735017,https://www.altitude152-montnoir.fr/
Parc Anne Frank,"Pratique,Site sportif, récréatif et de loisirs",Somain,59490,Nord,Hauts-de-France,50.3727324,3.2576327,https://ville-somain.fr/
"Escape Game ""Le Projet Edison""","Pratique,Site sportif, récréatif et de loisirs",Pecquencourt,59146,Nord,Hauts-de-France,50.3735312,3.2263219,
LVDK Location Vélo Dunkerque,"Location,Site sportif, récréatif et de loisirs,Prestataire de service",Dunkerque,59240,Nord,Hauts-de-France,51.0491196,2.3863254,
Maison Chochois,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.29215,2.77952,https://www.maisonchochois.com/
RDV RESTO DE VIRGINIE,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287294,2.779029,http://www.larapiere.com/
HOTEL KYRIAD LILLE EST - HEM LE PTIT ZINC,"Restauration,Hébergement",Hem,59510,Nord,Hauts-de-France,50.6445159,3.1964776,https://lille-est-hem.kyriad.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google&sr=SEO_GOOGLE#L'H%C3%B4tel
La Pen'tière,Restauration,Avesnelles,59440,Nord,Hauts-de-France,50.1162563,3.9322414,http://www.lapentiere.com/
Le Viviani,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290213,2.7789005,https://www.leviviani.fr/
Estaminet de Lorette - L'Abri des visiteurs,Restauration,Ablain-Saint-Nazaire,62153,Pas-de-Calais,Hauts-de-France,50.40116,2.718987,
BRASSERIE ANDRÉ,Restauration,Lille,59000,Nord,Hauts-de-France,50.6333008,3.0629691,http://www.brasserieandre.fr/
LE VIVIANI,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290272,2.778928,http://leviviani.fr/
LE CH'TI CHARIVARI,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291002,2.777535,https://www.chticharivari.fr/
Les Tontons Afro,Restauration,Lille,59000,Nord,Hauts-de-France,50.6413168,3.0625367,https://www.lestontonsafro.fr/
LE MEILLEUR DES MONDES,Restauration,Bondues,59910,Nord,Hauts-de-France,50.70375,3.0982488,https://www.le-meilleur-des-mondes-bondues.fr/
Le Clusius (Hôtel de l'Univers),Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.28931,2.773159,http://www.univers.najeti.fr/
Le Carnot,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2872705,2.7799491,http://www.hotelcarnot.com/
Le Made's Garden,Restauration,Lille,59800,Nord,Hauts-de-France,50.6377493,3.0582569,https://www.mademoiselle-resto.com/le-made-s-garden
L'Assiette de Boeuf,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2920581,2.7811716,http://www.assietteauboeuf.fr/
L'idéal Cinéma Jacques Tati,"Site sportif, récréatif et de loisirs",Aniche,59580,Nord,Hauts-de-France,50.3306998,3.2522007,
L'Epicurien,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2875518,2.7803836,https://www.restaurant-epicurien.eu/
RESTAURANT LE ROYAL,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290945,2.771498,
Le Saint-Germain,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2911378,2.7801997,
LA MARQUISE,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290715,2.774103,https://www.lamarquisearras.fr/
La Coupole d'Arras,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2880713,2.7793867,http://www.lacoupole-arras.fr/
Origin,"Restauration,Hébergement",Coquelles,62231,Pas-de-Calais,Hauts-de-France,50.926577,1.797915,https://www.ihg.com/holidayinn/hotels/fr/fr/calais/calcq/hoteldetail/dining
Le Mont Cameroun,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287748,2.779794,
LE MEDITERRANEEN,Restauration,Mons-en-Barœul,59370,Nord,Hauts-de-France,50.6419173,3.108688,http://www.lemediterraneen.com/
LE PÊCHÉ GOURMAND,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291002,2.777535,
Maison Chochois,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.29215,2.77952,https://www.maisonchochois.com/
TOMATE CERISE,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291002,2.777535,http://www.tomatecerise.com/
HEIN,Restauration,Lille,59000,Nord,Hauts-de-France,50.6388833,3.0710472,"https://briquehouse.com/privatisation,https://book.bookingshake.com/NNTFzZbNUsCWFhfRBfbM?medium=sw"
