Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Porte de Villars,Site culturel,Châtillon-sur-Chalaronne,01400,Ain,Auvergne-Rhône-Alpes,46.118436,4.958144,http://www.dombes-tourisme.com/fr/
Pizzeria Le Rialto,Restauration,Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.172639,4.802742,
Bibliothèque La Fontaine aux Livres,"Site sportif, récréatif et de loisirs,Site culturel",Nonglard,74330,Haute-Savoie,Auvergne-Rhône-Alpes,45.917624,6.01895,https://bibliononglard.wordpress.com/
Les Glycines,Restauration,Neuville-les-Dames,01400,Ain,Auvergne-Rhône-Alpes,46.161181,5.004015,
La Chalaronne au fil de l'eau N°6,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Villars-les-Dombes,01330,Ain,Auvergne-Rhône-Alpes,46.000355,5.023914,
Eglise,Site culturel,Saint-Nizier-le-Désert,01320,Ain,Auvergne-Rhône-Alpes,46.055662,5.148339,
Sentier piétonnier Pierre Poivre,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Villars-les-Dombes,01330,Ain,Auvergne-Rhône-Alpes,46.003848,5.028219,
Bibliothèque - Mozac,"Site sportif, récréatif et de loisirs,Site culturel",Mozac,63200,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.886936,3.093284,https://reseaubibliotheques.rlv.eu/bibliotheques-de-rlv/1253-mozac
La cuisine d'Augustine,Restauration,Priay,01160,Ain,Auvergne-Rhône-Alpes,46.003142,5.289655,http://lacuisinedaugustine.fr/
Bibliothèque,"Site sportif, récréatif et de loisirs,Site culturel",Châtel-Guyon,63140,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.919104,3.074777,
Auberge du Cézallier,Restauration,Montgreleix,15190,Cantal,Auvergne-Rhône-Alpes,45.344221,2.870566,http://www.aubergecezallier.com/
Piscine municipale de St-Lager-Bressac,"Site sportif, récréatif et de loisirs",Saint-Lager-Bressac,07210,Ardèche,Auvergne-Rhône-Alpes,44.696213,4.715285,
Restaurant Côté Saône,Restauration,Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.165595,4.791541,http://www.restaurantcotesaone.com/
Eglise,Site culturel,Saint-Germain-sur-Renon,01240,Ain,Auvergne-Rhône-Alpes,46.080272,5.056523,
MuséAl,Site culturel,Alba-la-Romaine,07400,Ardèche,Auvergne-Rhône-Alpes,44.561465,4.597914,https://www.museal.ardeche.fr/
Pizzéria des Templiers,Restauration,Montmerle-sur-Saône,01090,Ain,Auvergne-Rhône-Alpes,46.080465,4.758325,https://pizzadestempliers.resto-drive.fr/
Meness Kebab,Restauration,Montmerle-sur-Saône,01090,Ain,Auvergne-Rhône-Alpes,46.080762,4.758325,
Caveau Pierre DUBREUIL,Fournisseur de dégustation,Cerdon,01450,Ain,Auvergne-Rhône-Alpes,46.082064,5.465991,https://www.dubreuiletfils.com/
Restaurant Ugur,Restauration,Châtillon-sur-Chalaronne,01400,Ain,Auvergne-Rhône-Alpes,46.118733,4.957339,
Itinéraire patrimonial et touristique de Thoissey,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.171452,4.801333,
Spa d'Allevard-les-Bains,"Site sportif, récréatif et de loisirs",Allevard,38580,Isère,Auvergne-Rhône-Alpes,45.391489,6.073572,https://www.thermes-allevard.com/thermes-spa/sejour-detente-spa
Restaurant Le Colisée Pizzeria - Trattoria,Restauration,Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.17249,4.802914,
Eglise Sainte Illide,Site culturel,Sainte-Olive,01330,Ain,Auvergne-Rhône-Alpes,46.019675,4.929471,
Atelier d'artiste,Site culturel,Thoissey,01140,Ain,Auvergne-Rhône-Alpes,46.173761,4.801964,
Domaine du Mas d'Intras,Fournisseur de dégustation,Valvignères,07400,Ardèche,Auvergne-Rhône-Alpes,44.481002,4.553269,http://www.masdintras.fr/
Restobox,Restauration,Le Teil,07400,Ardèche,Auvergne-Rhône-Alpes,44.545208,4.680808,
Observatoires de l'étang Prêle,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Valeins,01140,Ain,Auvergne-Rhône-Alpes,46.107952,4.86463,http://www.dombes-tourisme.com/fr/
Musée des Soieries Bonnet,Site culturel,Jujurieux,01640,Ain,Auvergne-Rhône-Alpes,46.042199,5.409179,https://www.cerdonvalleedelain.fr/musee-soieries-bonnet
Circuit VAE : La vallée du Doux,"Site sportif, récréatif et de loisirs,Itinéraire cyclable",Saint-Jean-de-Muzols,07300,Ardèche,Auvergne-Rhône-Alpes,45.067521,4.788343,"https://www.trainardeche.fr/,https://rando-ardeche-hermitage.fr/trek/60584-La-vallee-du-Doux"
Eglise St Maurice,Site culturel,Romans,01400,Ain,Auvergne-Rhône-Alpes,46.119659,5.022346,http://www.romans01.fr/
Le Domaine du Gouverneur,"Restauration,Hébergement",Monthieux,01390,Ain,Auvergne-Rhône-Alpes,45.967226,4.932159,http://www.domainedugouverneur.fr/
Bibliothèque - Clerlande,"Site sportif, récréatif et de loisirs,Site culturel",Clerlande,63720,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.917652,3.191762,https://reseaubibliotheques.rlv.eu/bibliotheques-de-rlv/1239-clerlande
Restaurant La Gourmandine,Restauration,Châtillon-sur-Chalaronne,01400,Ain,Auvergne-Rhône-Alpes,46.119574,4.955306,http://www.restaurantlagourmandine.fr/
La Chalaronne au fil de l'eau N°5,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Châtillon-sur-Chalaronne,01400,Ain,Auvergne-Rhône-Alpes,46.117003,4.959071,
"Sentier de Découverte ""La Chalaronne au fil de l'eau"" - Boucle N°2 Saint-Didier sur Chalaronne","Site sportif, récréatif et de loisirs,Itinéraire pédestre",Saint-Didier-sur-Chalaronne,01140,Ain,Auvergne-Rhône-Alpes,46.172788,4.819382,
Bibliothèque - Saint Laure,"Site sportif, récréatif et de loisirs,Site culturel",Saint-Laure,63350,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.900793,3.292441,https://reseaubibliotheques.rlv.eu/bibliotheques-de-rlv/1248-ure
Golf de la Commanderie,"Site sportif, récréatif et de loisirs",Crottet,01290,Ain,Auvergne-Rhône-Alpes,46.289486,4.899774,"https://www.ain-golfs.com/fiches/Crottet/Golf/Golf-de-la-Commanderie/142437/,http://www.golflacommanderie.com/"
Au Plaisir d'Etang,Restauration,Saint-Nizier-le-Désert,01320,Ain,Auvergne-Rhône-Alpes,46.055245,5.148468,https://restaurant-plaisir-detang.fr/
Médiathèque des Jardins de la Culture,"Site sportif, récréatif et de loisirs,Site culturel",Riom,63200,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.895,3.1205,
Domaine le Merle Roux,Hébergement,Baix,07210,Ardèche,Auvergne-Rhône-Alpes,44.70953,4.73587,https://www.capfun.com/camping-france-rhone_alpes-le_merle_roux-FR.html
Gaec de la Pignatelle,Fournisseur de dégustation,Aubignas,07400,Ardèche,Auvergne-Rhône-Alpes,44.573859,4.626785,
